Name,latitude,longitude,family,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,21B Exponence of Tense-Aspect-Mood Inflection,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,25B Zero Marking of A and P Arguments,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,30A Number of Genders,34A Occurrence of Nominal Plurality,39A Inclusive/Exclusive Distinction in Independent Pronouns,40A Inclusive/Exclusive Distinction in Verbal Inflection,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,44A Gender Distinctions in Independent Personal Pronouns,45A Politeness Distinctions in Pronouns,47A Intensifiers and Reflexive Pronouns,48A Person Marking on Adpositions,51A Position of Case Affixes,52A Comitatives and Instrumentals,54A Distributive Numerals,55A Numeral Classifiers,58A Obligatory Possessive Inflection,59A Possessive Classification,61A Adjectives without Nouns,63A Noun Phrase Conjunction,65A Perfective/Imperfective Aspect,66A The Past Tense,67A The Future Tense,68A The Perfect,69A Position of Tense-Aspect Affixes,70A The Morphological Imperative,72A Imperative-Hortative Systems,73A The Optative,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,79A Suppletion According to Tense and Aspect,NumBlanks
Cuica,9,-70.5,Timote-Cuica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Cuiba,6.5,-70,Guahiban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Culina,-6,-70.5,Arauan,,,,,,,,,,,,,,,,,,,,,,,,,1 Absent,,,,,,,,,,,,,,,,39
Chumburung,7.75,0.25,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Cupeño,33.16666667,-116.5,Uto-Aztecan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Curripaco,2.5,-68.5,Arawakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Cuitlatec,17.5,-101,Cuitlatec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Chuukese,7.333333333,151.75,Austronesian,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,3 Obligatory,,,,,1 Grammatical marking,4 No past tense,2 No inflectional future,4 No perfect,,,,,,,,34
Chavacano,7,122.0833333,other,,,,,,,,,2 Full reduplication only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Chuave,-6.116666667,145.1166667,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Columbia-Wenatchi,47.5,-120,Salishan,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Chatino (Yaitepec),16.25,-97.25,Oto-Manguean,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,4 Mixed type,,,,,,,38
Cayuga,42.75,-76.75,Iroquoian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Cheyenne,47,-95,Algic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 No grammatical marking,"2 Present, 2-3 remoteness distinctions",1 Inflectional future exists,4 No perfect,,,,,,,,36
Cayuvava,-13.5,-65.5,Cayuvava,1 Exclusively concatenative,5 No case,1 monoexponential TAM,4 6-7 categories per word,4 No marking,1 Head marking,5 Inconsistent or other,2 Non-zero marking,1 Productive full and partial reduplication,1 No case marking,2 Syncretic,1 None,,5 Inclusive/exclusive,5 Inclusive/exclusive,,,6 No gender distinctions,1 No politeness distinction,,1 No adpositions,7 Prepositional clitics,,4 Marked by suffix,1 Absent,2 Absent,4 More than five classes,,,,,,,4 Mixed type,1 Second singular and second plural,,,3 No overlap,1 No grammatical evidentials,4 None,13
Czech,50,15,Indo-European,,,,,,,,,,,,,,,,2 Two-way contrast,1 Identical,,,,,1 Case suffixes,,5 Marked by preceding word,,,,,,,,,,4 Mixed type,1 Second singular and second plural,4 Neither type of system,,,,3 Tense and aspect,32
Da'a,-1,119.5833333,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Daba,10.16666667,13.75,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dadibi,-6.55,144.5833333,Teberan-Pawaian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Daga,-10,149.3333333,Dagan,1 Exclusively concatenative,5 No case,2 TAM+agreement,5 8-9 categories per word,1 Head marking,1 Head marking,1 Head-marking,2 Non-zero marking,1 Productive full and partial reduplication,1 No case marking,2 Syncretic,1 None,,3 No inclusive/exclusive,2 'We' the same as 'I',,,6 No gender distinctions,1 No politeness distinction,,2 No person marking,1 Case suffixes,,,,2 Absent,2 Two classes,,1 'And' different from 'with',2 No grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,4 No perfect,2 Tense-aspect suffixes,1 Second singular and second plural,1 Maximal system,,3 No overlap,1 No grammatical evidentials,4 None,9
Dahalo,-2.333333333,40.5,Afro-Asiatic,,,,,,,,,1 Productive full and partial reduplication,,,,"6 All nouns, always obligatory",,,,,,,,,,2 Differentiation,,,,,,,,,,,,,,,,,,37
Dakota,45,-93.5,Siouan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Damana,11,-73.5,Chibchan,,,,,,,,,,,,,,,,,,,,,,,2 Differentiation,,,,,,,,,,,,4 Second person number-neutral,,,,,,38
Dan,7.5,-8,Mande,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Darai,24,84,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Datooga,-4.333333333,35.33333333,Eastern Sudanic,,,,,,,,,,,,,,,,,,,,,,,,,1 Absent,,,,,,,,,,,,,,,,39
Dâw,-0.25,-67.08333333,Nadahup,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Day,8.75,17.83333333,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,,,,,,,,39
Dabida,-4,38.66666667,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Second singular and second plural,1 Maximal system,2 Inflectional optative absent,,,,37
Dutch (Brabantic),50.75,4.5,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,1 No distributive numerals,,,,,,,,,,,,,,,,,39
Dan (Blowo),7.333333333,-8.166666667,Mande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dumagat (Casiguran),16.33333333,122,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dhuwal (Dätiwuy),-12.16666667,136.25,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Daju (Dar Fur),12.25,25.25,Eastern Sudanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dadjriwalé,5.25,-5.666666667,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Donno So,14.33333333,-3.583333333,Dogon,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,4 Mixed type,,,,,,,38
Defaka,4.583333333,7.5,Ijoid,,,,,,,,,,,,3 Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Degema,4.75,6.75,Niger-Congo,,,,,,,,,,,,,"6 All nouns, always obligatory",,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Dení,-6,-67,Arauan,,,,,,,,,,,,,,,,,,,,,,,,,1 Absent,,,,,,,,,,,,,,2 Indirect only,,38
Dla (Proper),-3.583333333,141,Senagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Desano,0.833333333,-69.83333333,Tucanoan,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,2 Differentiation,,,,,,,,,,,2 Tense-aspect suffixes,4 Second person number-neutral,,,,,,36
Deti,-20.5,24.5,Khoe-Kwadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Deuri,26,90.25,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Dagaare,10.5,-2.666666667,Niger-Congo,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,5 3rd person non-singular only,,,2 No person marking,,,,1 Absent,,,,,,,,,,,,,,,,36
Dagbani,9.583333333,-0.5,Niger-Congo,,,,,,,,,,,,,"6 All nouns, always obligatory",,,,,,,,,,,,,,,,,,,,,4 Mixed type,,,,,,,38
Deutsche Gebärdensprache,52,11,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dogri,33,75,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,2 Marked by reduplication,,,,,,,,,,,,,,,,,39
Dongo,3,30,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,39
Dagur,48,124,Altaic,,,,,,,,,,,,,"2 Only human nouns, optional",,,,,6 No gender distinctions,,,2 No person marking,1 Case suffixes,2 Differentiation,,,,,,,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,,2 Inflectional optative absent,,,,32
Degexit'an,62,-160,Na-Dene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dhaasanac,4.666666667,36.33333333,Afro-Asiatic,,,,,,,,,,,,,"6 All nouns, always obligatory",,,,,,,,,5 Mixed morphological case,,,,,,,,,,,,,,,,,,,38
Dharumbal,-22.75,150.5,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Dhivehi,4.166666667,73.5,Indo-European,,,,,,,,,,,,,"5 All nouns, optional in inanimates",,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Dhalandji,-22.08,115,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dhimal,26.66666667,87.75,Sino-Tibetan,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Dhargari,-23.75,114.9166667,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Dhurga,-35.66666667,150,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dharawal,-34.5,150.5,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Didinga,4.5,33.5,Eastern Sudanic,,,,,,,,,,,,,"6 All nouns, always obligatory",,,,,,,,,1 Case suffixes,,,,,,,,2 No grammatical marking,"1 Present, no remoteness distinctions",2 No inflectional future,4 No perfect,,,,,,,,34
Diegueño (Mesa Grande),32.66666667,-116.1666667,Hokan,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,1 Exists,2 Two classes,,,,,,,4 Mixed type,1 Second singular and second plural,4 Neither type of system,,3 No overlap,1 No grammatical evidentials,,32
Digaro,28.41666667,96,Sino-Tibetan,1 Exclusively concatenative,1 Monoexponential case,1 monoexponential TAM,3 4-5 categories per word,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,2 Absent,1 No possessive classification,,,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,4 Neither type of system,,,,,30
Dime,6.166666667,36.25,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Dinka,8.5,28,Eastern Sudanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 'And' identical to 'with',,,,,5 No tense-aspect inflection,,,,,,,38
Diola-Fogny,13,-16.25,Niger-Congo,,,,,,,,,,1 No case marking,2 Syncretic,5 Five or more,,5 Inclusive/exclusive,5 Inclusive/exclusive,,,"2 3rd person only, but also non-singular",,,2 No person marking,9 No case affixes or adpositional clitics,,,,,,,,2 No grammatical marking,4 No past tense,1 Inflectional future exists,4 No perfect,4 Mixed type,5 No second-person imperatives,1 Maximal system,2 Inflectional optative absent,,1 No grammatical evidentials,4 None,22
Diyari,-28,139,Pama-Nyungan,,,,,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Non-zero marking,1 Productive full and partial reduplication,,,2 Two,,,,,,,,,,1 Case suffixes,,,,2 Absent,2 Two classes,,1 'And' different from 'with',,,,,2 Tense-aspect suffixes,,,,,3 Direct and indirect,,28
Dizi,6.166666667,36.5,Afro-Asiatic,,,,,2 Dependent marking,3 Double marking,5 Inconsistent or other,2 Non-zero marking,,,,2 Two,,,,,,3 3rd person singular only,,,2 No person marking,,,,1 Absent,2 Absent,2 Two classes,,,,,,,,1 Second singular and second plural,,,,,,29
Djabugay,-16.75,145.5833333,Pama-Nyungan,,,,,,,,,,,,,"4 All nouns, always optional",,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,4 Second person number-neutral,,,,,,36
Djingili,-17.75,134,Mirndi,,,,,3 Double marking,3 Double marking,3 Double-marking,2 Non-zero marking,1 Productive full and partial reduplication,,,,"4 All nouns, always optional",,,,,,,,,1 Case suffixes,,,1 Absent,,,,,,,,,2 Tense-aspect suffixes,,,,,,,31
Djambarrpuyngu,-12.16666667,135.5,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Djinang,-12.33333333,134.8333333,Pama-Nyungan,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Djapu,-12.66666667,136,Pama-Nyungan,,,,,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Non-zero marking,1 Productive full and partial reduplication,,,,,,,,,,,,,1 Case suffixes,,,,2 Absent,1 No possessive classification,,,,,,,2 Tense-aspect suffixes,5 No second-person imperatives,,,,1 No grammatical evidentials,,29
Djaru,-18.75,128,Pama-Nyungan,,,,,,,,,1 Productive full and partial reduplication,,,1 None,,,,2 Two-way contrast,1 Identical,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,34
Dutch (Limburg),51,5.5,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,1 No distributive numerals,,,,,,,,,,,,,,,,,39
Dla (Menggwa),-3.55,141.0333333,Senagi,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Duma,-0.95,13,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dumi,27.25,86.66666667,Sino-Tibetan,,,,,,,,,,,,,,,,,,,1 No politeness distinction,,,6 Postpositional clitics,2 Differentiation,,,,,,,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,,1 Inflectional optative present,,2 Indirect only,,33
Dumaki,36.16666667,74,Indo-European,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Dimasa,25.5,93,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Ding,-4.333333333,19.5,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dani (Lower Grand Valley),-4.333333333,138.8333333,Trans-New Guinea,1 Exclusively concatenative,5 No case,1 monoexponential TAM,4 6-7 categories per word,1 Head marking,3 Double marking,5 Inconsistent or other,2 Non-zero marking,,1 No case marking,2 Syncretic,1 None,,3 No inclusive/exclusive,3 No inclusive/exclusive,,,6 No gender distinctions,1 No politeness distinction,,3 Pronouns only,1 Case suffixes,2 Differentiation,,,1 Exists,2 Two classes,,,1 Grammatical marking,"2 Present, 2-3 remoteness distinctions",1 Inflectional future exists,4 No perfect,2 Tense-aspect suffixes,1 Second singular and second plural,1 Maximal system,2 Inflectional optative absent,2 Overlap for either possibility or necessity,2 Indirect only,4 None,9
Dangaléat (Western),12.16666667,18.33333333,Afro-Asiatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dobel,-6.25,134.6666667,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,2 Optional,,,,,,,,,,,,,,,,39
Doko,3,23.08333333,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dolgan,71.25,98,Altaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Domari,32,35,Indo-European,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Dong (Southern),27,109,Tai-Kadai,,,,,,,,,,,,1 None,,,,3 Three-way contrast,1 Identical,6 No gender distinctions,,,2 No person marking,,,,,,,,,,,,,,5 No second-person imperatives,,,,,,34
Doutai,-3.333333333,138.1666667,Lakes Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Doyayo,8.666666667,13.08333333,Niger-Congo,,,,,,,,,,,,,"5 All nouns, optional in inanimates",,,,,6 No gender distinctions,,,2 No person marking,9 No case affixes or adpositional clitics,,,,,,,,,,,,3 Tense-aspect tone,,,,,,,35
Drehu,-21,167.25,Austronesian,,,,,,,,,1 Productive full and partial reduplication,1 No case marking,1 No subject person/number marking,,,5 Inclusive/exclusive,1 No person marking,2 Two-way contrast,1 Identical,"2 3rd person only, but also non-singular",,2 Differentiated,2 No person marking,9 No case affixes or adpositional clitics,2 Differentiation,,1 Absent,2 Absent,2 Two classes,,,,,,,5 No tense-aspect inflection,5 No second-person imperatives,4 Neither type of system,2 Inflectional optative absent,3 No overlap,1 No grammatical evidentials,,19
Dargwa,42.25,47.41666667,Nakh-Daghestanian,,,,,,,,,,,,,"6 All nouns, always obligatory",,,3 Three-way contrast,1 Identical,,,,,1 Case suffixes,,2 Marked by reduplication,1 Absent,,,2 Without marking,,,,,,,,,1 Inflectional optative present,,,,32
Dari,35,66,Indo-European,,,,,,,,,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Darma,30,79.75,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Danish,56,10,Indo-European,,,,,,,,,,,,,,,,,,,2 Binary politeness distinction,1 Identical,,1 Case suffixes,1 Identity,,,,,,,,,,,2 Tense-aspect suffixes,4 Second person number-neutral,4 Neither type of system,2 Inflectional optative absent,1 Overlap for both possibility and necessity,,,31
Toro So,14.41666667,-3.25,Dogon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Duala,4,9.416666667,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 'And' identical to 'with',,,,,,,,,,,,39
Dullay (Gollango),5.5,37.25,Afro-Asiatic,,,,,,,,,,,,,"6 All nouns, always obligatory",,,,,,,,,,2 Differentiation,,,,,,,,,,,,,,,,,,38
Duka,11.16666667,5.083333333,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Dulong,28,98.33333333,Sino-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dumo,-2.683333333,141.3,Skou,,,,,4 No marking,1 Head marking,5 Inconsistent or other,2 Non-zero marking,,,,,,,,,,1 In 3rd person + 1st and/or 2nd person,,,2 No person marking,9 No case affixes or adpositional clitics,,,1 Absent,2 Absent,2 Two classes,,,,,,,,,,,,,,30
Duna,-5.5,142.5,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Dutch,52.5,6,Indo-European,,,,,,,,,,,,,"6 All nouns, always obligatory",,,,,3 3rd person singular only,2 Binary politeness distinction,1 Identical,2 No person marking,9 No case affixes or adpositional clitics,,1 No distributive numerals,,,,,1 'And' different from 'with',,,,,2 Tense-aspect suffixes,4 Second person number-neutral,4 Neither type of system,,1 Overlap for both possibility and necessity,2 Indirect only,1 Tense,26
Dutch (Zeeuws),51.5,3.75,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,1 No distributive numerals,,,,,,,,,,,,,,,,,39
Dyirbal,-17.83333333,145.5833333,Pama-Nyungan,,,,,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Non-zero marking,1 Productive full and partial reduplication,,,4 Four,"5 All nouns, optional in inanimates",,,2 Two-way contrast,1 Identical,,1 No politeness distinction,,,1 Case suffixes,,,1 Absent,2 Absent,2 Two classes,2 Without marking,1 'And' different from 'with',,,,,2 Tense-aspect suffixes,1 Second singular and second plural,,,,1 No grammatical evidentials,,21
Dyimini,8.416666667,-4.416666667,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Dyula,9.833333333,-4.666666667,Mande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Minimal system,,,,,39
Ebira,8.166666667,7,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Edolo,-6.166666667,142.6666667,Bosavi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Efik,4.916666667,8.5,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,2 Differentiation,,,,,,,,,,,,,,,,,,39
Ega,5.5,-5.5,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Engenni,5.166666667,6.383333333,Niger-Congo,,,,,,,,,,,,,,,,2 Two-way contrast,1 Identical,,,,,9 No case affixes or adpositional clitics,,,,,,,,1 Grammatical marking,4 No past tense,1 Inflectional future exists,"2 From 'finish', 'already'",3 Tense-aspect tone,5 No second-person imperatives,,,,,,31
Eipo,-4.333333333,140.0833333,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Ejagham,5.416666667,8.666666667,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Ekari,-3.833333333,135.5,Trans-New Guinea,1 Exclusively concatenative,5 No case,1 monoexponential TAM,3 4-5 categories per word,1 Head marking,4 No marking,5 Inconsistent or other,2 Non-zero marking,,1 No case marking,2 Syncretic,,,3 No inclusive/exclusive,3 No inclusive/exclusive,,,6 No gender distinctions,,,2 No person marking,,,,,1 Exists,2 Two classes,,2 'And' identical to 'with',,,,,2 Tense-aspect suffixes,1 Second singular and second plural,4 Neither type of system,,3 No overlap,2 Indirect only,,18
Ekoti,-16.5,39.5,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Elseng,-3,140.5,Morwap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Emberá (Northern),6.833333333,-77.16666667,Choco,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,4 Neither type of system,,,,,36
Embera Chami,5,-76,Choco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Second singular and second plural,,,,,,39
Émérillon,3.166666667,-52.41666667,Tupian,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
Embaloh,1.166666667,112.3333333,Austronesian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Emmi,-13.5,130,Western Daly,,,,,,,,,,,,,,,,,,,,,,6 Postpositional clitics,,,,,,,,,,,,,,,,,,,39
Enga,-5.5,143.6666667,Trans-New Guinea,,,,,,,,,,,,,,,,,,,,,,,2 Differentiation,,,,,,,,,,,,,,,,,,39
Enets,67.5,86.5,Uralic,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,38
English,52,0,Indo-European,1 Exclusively concatenative,5 No case,1 monoexponential TAM,2 2-3 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Non-zero marking,3 No productive reduplication,2 Core cases only,2 Syncretic,3 Three,"6 All nouns, always obligatory",3 No inclusive/exclusive,2 'We' the same as 'I',2 Two-way contrast,1 Identical,3 3rd person singular only,1 No politeness distinction,1 Identical,2 No person marking,9 No case affixes or adpositional clitics,1 Identity,1 No distributive numerals,1 Absent,2 Absent,1 No possessive classification,6 Marked by following word,1 'And' different from 'with',2 No grammatical marking,"1 Present, no remoteness distinctions",2 No inflectional future,1 From possessive,2 Tense-aspect suffixes,5 No second-person imperatives,4 Neither type of system,2 Inflectional optative absent,1 Overlap for both possibility and necessity,1 No grammatical evidentials,1 Tense,0
Enggano,-5.416666667,102.25,Austronesian,,,,,,,,,,,,,,,,,,,,,,2 Case prefixes,,,,,,,,,,,,4 Mixed type,,,,,,,38
Enya,-0.5,25.25,Niger-Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Epena Pedee,3,-77,Choco,1 Exclusively concatenative,1 Monoexponential case,1 monoexponential TAM,3 4-5 categories per word,2 Dependent marking,4 No marking,5 Inconsistent or other,2 Non-zero marking,1 Productive full and partial reduplication,4 No syncretism,1 No subject person/number marking,1 None,"3 Only human nouns, obligatory",3 No inclusive/exclusive,1 No person marking,2 Two-way contrast,3 Different inflection,6 No gender distinctions,,,2 No person marking,6 Postpositional clitics,,,1 Absent,1 Exists,1 No possessive classification,7 Marked by mixed or other strategies,,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,4 Neither type of system,2 Inflectional optative absent,,2 Indirect only,,11
Efate (South),-17.75,168.4166667,Austronesian,,,,,,,,,,,,,,,,,,,,,,2 Case prefixes,,,,,,,,,,,,5 No tense-aspect inflection,,,,,,,38
Erromangan,-18.83333333,169.1666667,Austronesian,,,,,,,,,2 Full reduplication only,,,1 None,"6 All nouns, always obligatory",,,,,6 No gender distinctions,,,3 Pronouns only,,,4 Marked by suffix,1 Absent,,,,,,,,,,1 Second singular and second plural,4 Neither type of system,,,,,31
Ese Ejja,-11,-66,Tacanan,,,,,,,,,,,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,2 Indirect only,,37
Esmeraldeño,0.333333333,-79.83333333,Tacame,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,,,,,,,,39
Esselen,36.25,-121.75,Esselen,,,,,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,,,,,,,,,,,,,,39
